,id,HTTP_UserAgent,HTTP_UserAgent_Rule
51,52,"Mozilla/5.0 (hp-tablet; Linux; hpwOS/3.0.0; U; en-US) AppleWebKit/534.6 (KHTML, like Gecko) wOSBrowser/233.70 Safari/534.6 TouchPad/1.0",HP TouchPad
51,52,"Mozilla/5.0 (hp-tablet; Linux; hpwOS/3.0.0; U; en-US) AppleWebKit/534.6 (KHTML, like Gecko) wOSBrowser/233.70 Safari/534.6 TouchPad/1.0",TouchPad
52,53,"Mozilla/5.0 (SymbianOS/9.4; Series60/5.0 NokiaN97-1/20.0.019; Profile/MIDP-2.1 Configuration/CLDC-1.1) AppleWebKit/525 (KHTML, like Gecko) BrowserNG/7.1.18124",Nokia N97
52,53,"Mozilla/5.0 (SymbianOS/9.4; Series60/5.0 NokiaN97-1/20.0.019; Profile/MIDP-2.1 Configuration/CLDC-1.1) AppleWebKit/525 (KHTML, like Gecko) BrowserNG/7.1.18124",N97-1
53,54,Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; HTC; Titan),HTC Titan
53,54,Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; HTC; Titan),Titan
54,55,UCWEB7.0.2.37/28/999,7
55,56,NOKIA5700/ UCWEB7.0.2.37/28/999,Nokia 5700
55,56,NOKIA5700/ UCWEB7.0.2.37/28/999,5700
56,57,Openwave/ UCWEB7.0.2.37/28/999,7
57,58,Mozilla/4.0 (compatible; MSIE 6.0; ) Opera/UCWEB7.0.2.37/28/999,7
58,59,"Mozilla/5.0 (Nintendo WiiU) AppleWebKit/534.52 (KHTML, like Gecko) NX/2.1.0.8.21 NintendoBrowser/1.0.0.7494.US",Nintendo Wii U
58,59,"Mozilla/5.0 (Nintendo WiiU) AppleWebKit/534.52 (KHTML, like Gecko) NX/2.1.0.8.21 NintendoBrowser/1.0.0.7494.US",Wii U
59,60,"Mozilla/5.0 (PlayStation 4 1.000) AppleWebKit/536.26 (KHTML, like Gecko)",PlayStation 4
60,61,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; Xbox; Xbox One),Xbox
61,62,Mozilla/4.0 (compatible; MSIE 6.0; Nitro) Opera 8.50 [en],8
62,63,"Mozilla/5.0 (Linux; Android 4.1.1; ARCHOS GAMEPAD Build/JRO03H) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19",Archos GAMEPAD
62,63,"Mozilla/5.0 (Linux; Android 4.1.1; ARCHOS GAMEPAD Build/JRO03H) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19",GAMEPAD
63,64,Opera/9.00 (Nintendo Wii; U; ; 1309-9; en),Nintendo Wii
63,64,Opera/9.00 (Nintendo Wii; U; ; 1309-9; en),Wii
64,65,"Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; ARCHOS GAMEPAD2 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",Archos GAMEPAD2
64,65,"Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; ARCHOS GAMEPAD2 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",GAMEPAD2
65,66,"Mozilla/5.0 (Linux; Android 4.3; SHIELD Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.99 Mobile Safari/537.36",SHIELD
66,67,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),Spider
66,67,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),Desktop
67,68,Apache-HttpClient/4.1 (java 1.5),4
68,69,muCommander v0.8.3 (Java 1.4.2_03-b02; Windows XP 5.1 x86),4
69,70,"Mozilla/5.0 (X11; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) QtCarBrowser Safari/533.3",Tesla Model S
69,70,"Mozilla/5.0 (X11; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) QtCarBrowser Safari/533.3",Model S
70,71,Mozilla/5.0 [en] (PalmOS; U; WebPro/3.5; Palm-Zi72),Generic Smartphone
70,71,Mozilla/5.0 [en] (PalmOS; U; WebPro/3.5; Palm-Zi72),Smartphone
71,72,Mozilla/4.0 (compatible; MSIE 6.0; Windows CE; IEMobile 7.6) HPiPAQ610/1.0 (PPC; 240x320),HP iPAQ 610
71,72,Mozilla/4.0 (compatible; MSIE 6.0; Windows CE; IEMobile 7.6) HPiPAQ610/1.0 (PPC; 240x320),iPAQ 610
72,73,Mozilla/4.0 (compatible; MSIE 4.01; Windows CE; PPC; 240x320; HP iPAQ h5450),Generic Smartphone
72,73,Mozilla/4.0 (compatible; MSIE 4.01; Windows CE; PPC; 240x320; HP iPAQ h5450),Smartphone
73,74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",Mac
74,75,Mozilla/5.0 (X11; U; AIX 5.3; en-US; rv:1.7.12) Gecko/20051025,
75,76,HbbTV/1.1.1 (;Samsung;SmartTV2013;T-FXPDEUC-1102.2;;) WebKit,HbbTV
75,76,HbbTV/1.1.1 (;Samsung;SmartTV2013;T-FXPDEUC-1102.2;;) WebKit,SmartTV2013
76,77,Mozilla/5.0 (Linux mips; U;HbbTV/1.1.1 (+RTSP;DMM;Dreambox;0.1a;1.0;) CE-HTML/1.0; en) AppleWebKit/535.19 no/Volksbox QtWebkit/2.2,HbbTV
76,77,Mozilla/5.0 (Linux mips; U;HbbTV/1.1.1 (+RTSP;DMM;Dreambox;0.1a;1.0;) CE-HTML/1.0; en) AppleWebKit/535.19 no/Volksbox QtWebkit/2.2,Dreambox
77,78,Opera/9.80 (Linux armv7l; InettvBrowser/2.2 (00014A;SonyDTV115;0002;0100) KDL42W650A; CC/GRC) Presto/2.12.362 Version/12.11,Inettv
77,78,Opera/9.80 (Linux armv7l; InettvBrowser/2.2 (00014A;SonyDTV115;0002;0100) KDL42W650A; CC/GRC) Presto/2.12.362 Version/12.11,DTV115
78,79,Opera/9.80 (Linux armv6l; Opera TV Store/5599; (SonyBDP/BDV13)) Presto/2.12.362 Version/12.11,Sony BDV13
78,79,Opera/9.80 (Linux armv6l; Opera TV Store/5599; (SonyBDP/BDV13)) Presto/2.12.362 Version/12.11,BDV13
79,80,Opera/9.80 (Linux armv7l; Opera TV Store/5581) Presto/2.12.362 Version/12.11,12
80,81,Opera/9.80 (Linux i686; U; fr) Presto/2.10.287 Version/12.00 ; SC/IHD92 STB,12
81,82,"Mozilla/5.0 (CrKey armv7l 1.4.15250) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.0 Safari/537.36",31
82,83,Mozilla/5.0 (DTV; TSBNetTV/T32013713.0203.7DD; TVwithVideoPlayer; like Gecko) NetFront/4.1 DTVNetBrowser/2.2 (000039;T32013713;0203;7DD) InettvBrowser/2.2 (000039;T32013713;0203;7DD),Inettv
82,83,Mozilla/5.0 (DTV; TSBNetTV/T32013713.0203.7DD; TVwithVideoPlayer; like Gecko) NetFront/4.1 DTVNetBrowser/2.2 (000039;T32013713;0203;7DD) InettvBrowser/2.2 (000039;T32013713;0203;7DD),T32013713
83,84,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/546.10 (KHTML, like Gecko) Version/6.0 Mobile/7E18WD Safari/8536.25",iPhone
84,85,"Mozilla/5.0 (SAMSUNG; SAMSUNG-GT-i9500/1.0; U; Tizen/1.0 like Android; en-us) AppleWebKit/534.46 (KHTML, like Gecko) SLP Browser/1.0 Mobile",Samsung SAMSUNG-GT-i9500
84,85,"Mozilla/5.0 (SAMSUNG; SAMSUNG-GT-i9500/1.0; U; Tizen/1.0 like Android; en-us) AppleWebKit/534.46 (KHTML, like Gecko) SLP Browser/1.0 Mobile",SAMSUNG-GT-i9500
85,86,Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 820),Lumia 820
86,87,"Mozilla/5.0 (Linux; U; Android 3.1; ru-ru; K1 Build/K1_A301_02_02_110822_SG) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",Lenovo Ideapad K1
86,87,"Mozilla/5.0 (Linux; U; Android 3.1; ru-ru; K1 Build/K1_A301_02_02_110822_SG) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",Ideapad K1
87,88,"Mozilla/5.0 (Linux; U; Android 4.0.4; el-gr; IdeaTabA2109A Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",Lenovo IdeaTab A2109A
87,88,"Mozilla/5.0 (Linux; U; Android 4.0.4; el-gr; IdeaTabA2109A Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",IdeaTab A2109A
88,89,"Mozilla/5.0 (Linux; U; Android 4.1.2; en-us; LG-F200S Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",LG-F200S
88,89,"Mozilla/5.0 (Linux; U; Android 4.1.2; en-us; LG-F200S Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",F200S
89,90,"Mozilla/5.0 (Linux; U; Android 4.0.4; ko-kr; LG-F200K Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 DaumApps/3.2.4",LG-F200K
89,90,"Mozilla/5.0 (Linux; U; Android 4.0.4; ko-kr; LG-F200K Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 DaumApps/3.2.4",F200K
90,91,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; LG-F200L Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 NAVER(inapp; search; 200; 4.0.1)",LG-F200L
90,91,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; LG-F200L Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 NAVER(inapp; search; 200; 4.0.1)",F200L
91,92,"Mozilla/5.0 (Linux; U; Android 3.2; es-es; HUAWEI MediaPad Build/HuaweiMediaPad) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",HUAWEI MediaPad
91,92,"Mozilla/5.0 (Linux; U; Android 3.2; es-es; HUAWEI MediaPad Build/HuaweiMediaPad) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",MediaPad
92,93,"Mozilla/5.0 (Linux; U; Android 3.1; el-gr; HTC PG09410 Build/HMJ15) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",HTC PG09410
92,93,"Mozilla/5.0 (Linux; U; Android 3.1; el-gr; HTC PG09410 Build/HMJ15) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",PG09410
93,94,"Mozilla/5.0 (Linux; Android 4.2.2; QMV7A Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.122 Safari/537.36",QMV7A
94,95,"Mozilla/5.0 (Linux; Android 4.3; en-gb; SAMSUNG SM-P605 Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Safari/537.36",Samsung SM-P605
94,95,"Mozilla/5.0 (Linux; Android 4.3; en-gb; SAMSUNG SM-P605 Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Safari/537.36",SM-P605
95,96,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; Glass 1 Build/IMM76L; XE10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Glass 1
96,97,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-ie; SM-V700 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Samsung SM-V700
96,97,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-ie; SM-V700 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",SM-V700
